Pavlova, Ltd.,5
Plutzer Lebensmittelgroßmärkte AG,5
Specialty Biscuits, Ltd.,5
New Orleans Cajun Delights,4
Bigfoot Breweries,3
Formaggi Fortini s.r.l.,3
G'day, Mate,3
Grandma Kelly's Homestead,3
Heli Süßwaren GmbH & Co. KG,3
Karkki Oy,3
Leka Trading,3
Mayumi's,3
Norske Meierier,3
Svensk Sjöföda AB,3
Tokyo Traders,3
Aux joyeux ecclésiastiques,2
Cooperativa de Quesos 'Las Cabras',2
Exotic Liquids,2
Forêts d'érables,2
Gai pâturage,2
Lyngbysild,2
Ma Maison,2
New England Seafood Cannery,2
PB Knäckebröd AB,2
Pasta Buttini s.r.l.,2
Zaanse Snoepfabriek,2
Escargots Nouveaux,1
Nord-Ost-Fisch Handelsgesellschaft mbH,1
Refrescos Americanas LTDA,1
